name,topic1,topic2,topic3,topic4,topic5
100_Leathers,revolt,resist,confess,forth,tongue
10_only shallow,pillow,comfort,sleep,soft,feel
11_The Look,town,trouble,shake,round,shook
13_Kids,haunt,tree,plant,child,control
14_Weird Fishes Arpeggi,ocean,sea,worm,escape,deep
15_Jigsaw Falling Into Place,song,come,beat,nightmare,hand
16_Bangers  Mash,bite,poison,puke,bit,pyramid
17_15 Step,string,reel,undone,end,drop
18_Come On Home,home,lover,lonely,place,love
19_Take Me Out,lonely,cross,leave,die,away
1_Obstacle 1,line,salt,poor,stab,lip
20_Finally,springtime,spring,feel,sunshine,heal
21_Paper Cages,cage,incarceration,lock,conviction,paper
22_Love Illumination,love,feel,dream,illumination,know
23_Walking On A Dream,dream,rhythm,walk,thrill,feel
24_Burn the Witch,burn,panic,song,gallows,sing
25_Desert Island Disk,light,doorway,spirit,born,way
26_Decks Dark,darkness,dark,infinity,spacecraft,darling
27_Identikit,moon,mess,dance,ragdoll,love
28_Ful Stop,mess,tinderbox,trap,like,truth
29_Paranoid Android,paranoid,chicken,voice,noise,crackle
2_NYC  Third Demo  2012 Remaster,rap,raekwon,ludacris,remaster,jadakiss
30_Airbag,bear,universe,interstellar,juggernaut,burst
31_Let Down  Remastered,brockhampton,yeezus,kanye,kendrick,album
32_Karma Police,karma,arrest,police,hitler,hairdo
33_No Surprises  Remastered,mom,party,mother,prank,mommy
34_You,chaotic,sun,moon,star,fireyou
35_Creep,creep,special,weirdo,angel,belong
36_Anyone Can Play Guitar,destiny,band,guitar,heaven,world
37_Ripcord,soul,destroy,ripcord,aeroplane,inevitable
38_Freefall,freefall,fall,smoke,stumble,ground
3_The New  Peel Session  2012 Remaster,remixes,instrumentals,album,mixtape,unreleased
40_Nimrodel  Medley,boondock,coal,god,genocide,valhalla
41_Lady Fantasy  Medley,molière,dowager,aristocratic,shakespeare,monsieur
44_Rhayader Goes To Town,rhayader,noble,appearance,fear,bearingyou
48_Another Night,night,dark,twilight,morning,day
4_It Probably Matters,grace,friend,care,try,faithful
50_What Ive Done,forgive,farewell,regret,mercy,erase
51_Who Can It Be Now,door,knock,stay,trap,friend
52_I Can See It in Your Eyes,eye,mother,little,think,look
53_Down Under,brussels,kombi,zombie,hippie,travel
54_Touching the Untouchables,untouchable,fence,wall,leather,help
55_Catch a Star,star,sensation,infatuation,babe,feel
56_Down By the Sea,treasure,adrift,sea,boat,sail
57_Dr Heckyll  Mr Jive,heckyll,laboratory,cure,story,jive
58_Overkill,ghost,night,sleep,fear,worry
59_Its A Mistake,commander,party,boy,die,run
5_Pioneer To The Falls,soul,dirt,pile,pull,heart
60_Blue for You,blue,green,blind,hear,bye
61_I Like To,like,write,sit,listen,read
62_No Sign Of Yesterday,hole,drain,dig,night,hear
63_Falling Down,paranoid,sensation,tumble,feel,fall
64_I Want A New Drug,drug,pill,want,new,baby
65_The Power Of Love,love,power,feel,sing,strong
66_Faint,scar,listen,help,feel,hear
67_Easier to Run,retrace,shame,pain,misplace,grave
68_Lying from You,pretend,criminal,lie,turn,steal
69_Breaking the Habit,break,habit,cure,clarity,realize
6_The Scale,bandit,hide,cloud,rise,road
70_Numb,numb,undertow,feel,aware,walk
71_Burning in the Skies,bridge,burning,deadwood,burn,smoke
72_The End,funeral,resignation,tragic,goodbye,piggy
73_Dead,heart,heaven,wait,dead,hospital
74_Im Waiting For The Man,wait,uptown,brownstone,man,darling
75_Rock and Roll  Remaster,albumsminutemen,albumsnew,radiohead,albumscurrent,albumsecco
76_Misty Mountain Hop,policeman,flower,street,park,walk
77_Four Sticks  Remaster,albumsminutemen,albumsnew,radiohead,albumscurrent,albumsecco
78_When the Levee Breaks  Remaster,napoleonic,bonaparte,gallantry,regiment,monsieur
79_The Battle of Evermore,darkness,dark,night,darkest,light
7_Rest My Chemistry,stairway,hallway,line,sleep,tear
80_Bloody Well Right,schooling,phony,write,say,know
81_Hide In Your Shell,help,listen,trouble,know,scream
82_Crime Of The Century,read,adventure,story,rape,worth
83_Get Blown Away,candle,sweetly,holiday,away,queen
84_All Up,spark,cindy,live,love,right
85_Half A Dream Away,fence,superstition,frown,screech,sour
86_Lining Your Pockets,pay,money,pocket,line,want
87_The Riverboat Song,river,riverboat,flow,trouble,road
88_I Know What I Like In Your Wardrobe  Remastered 2008,mow,garden,farmer,ethel,cuckoo
8_All the Rage Back Home,love,lover,weep,lady,fall
90_Brave New World  2015 Remaster,maiden,genre,album,halen,riff
91_The Nomad  2015 Remaster,maiden,genre,album,halen,riff
92_Out of the Silent Planet  2015 Remaster,brahmanhood,brahmana,brahmangali,brahmanas,brahmani
93_Hallowed Be Thy Name  2015 Remaster,vampyrism,vampirism,vampiric,vampirish,vampires
95_Hollow,friend,soul,hollow,dead,feel
96_Dont Look Back In Anger,rock,revolution,band,slip,walk
97_Heartbreaker,heartbreaker,break,breaker,hear,babe
98_Body Vehicle,cherish,feel,escape,miss,bitter
99_Waiting for the End,beginnin,end,rhythm,listen,know
9_Tidal Wave,serenade,tidal,flood,rush,wave
