name,topic1,topic2,topic3,topic4,topic5
11_Vanilla,vanilla,flowers,abandoned,mars,blossom
12_Villa,ocean,secret,villa,doors,breeze
13_I Wanna Be Yours,babe,secrets,deep,want,maybe
15_Sweet,love,video,lingerie,knowing,dripping
16_Each Time You Fall in Love,love,girl,baby,road,ride
17_You Might Be Sleeping,baby,warm,sadness,morning,tears
18_Candlelight,candlelights,night,lights,snuffed,memories
19_有暖氣You Nuan Chi,shake,wavy,baby,stuck,traffic
1_Apocalypse,music,haunt,apocalypse,secrets,goodbye
20_SLOW DANCING IN THE DARK,night,dancing,friend,dance,dark
22_Let There Be Light Again,darkness,starlights,light,night,bright
24_Perfect Sense,goodnight,takes,say,wrap,final
25_Jaime pas le goût  A COLORS SHOW,ouais,pas,amour,passe,referais
2_Sunsetz,sunsets,visions,sunlight,tits,love
3_Cry,love,stay,heart,help,faithful
4_K,kristen,kissing,room,love,tell
5_My Jinji,jinji,babe,lie,say,leave
6_I Know You Know I Love You,babeyou,love,baby,sunshine,star
7_Jellyfish,jellyfish,ocean,sea,bubbles,crystal
9_Blues,sign,red,sober,fight,uncle
