name,topic1,topic2,topic3,topic4,topic5
01_Old Town Road,road,ride,valley,rodeo,town
02_Sunflower,wreck,sunflower,baby,tryna,crash
03_Without Me,love,feel,lonely,try,afraid
04_Bad Guy,lyric,mama,song,mommy,girlfriend
05_Wow,lil,dre,grinnin,pocket,pullin
06_Happier,happy,flame,think,leave,mean
07_Seven Rings,tiffany,tattoo,like,bitch,bottle
08_Talk,talk,flower,sure,apologize,hear
09_Sicko Mode,lockdown,bitch,mix,like,nigga
100_Robbery,gucci,tell,drug,run,slur
10_Sucker,sucker,subliminal,bird,baby,tattoo
11_High Hopes,rise,destiny,high,hope,prophecy
12_Thank U Next,song,ricky,love,sean,pete
13_Truth Hurts,bitch,man,boy,chick,hair
14_Dancing With A Stranger,dance,stranger,boy,baby,tonight
15_Senorita,señorita,runnin,like,kiss,love
16_I Dont Care,party,baby,dance,night,stay
17_Eastside,backstreets,love,baby,kiss,sing
18_Going Bad,drizzy,nigga,lil,bitch,wheezy
19_Shallow,fallin,dive,deep,shallow,sha
20_Better,sober,night,feel,baby,high
21_No Guidance,raw,devvon,nigga,vibe,kd
22_Girls Like You,backstreet,lovato,aguilera,timberlake,christina
23_Sweet But Psycho,psycho,poison,potion,sugarcoat,screamin
24_Suge,gangster,nigga,bitch,fool,lil
25_Middle Child,rapper,rap,jigga,drizzy,lil
26_Drip Too Hard,nigga,runnin,lil,bitch,moanin
27_Someone You Loved,help,way,pull,feel,hear
28_Ranom,miner,minesom,stronghold,diamond,mob
29_If I Cant Have You,song,miss,try,text,sorry
30_Goodbyes,kurt,nicki,edge,minaj,cut
31_ZEZE,nigga,mansion,drug,street,like
32_Better Now,mean,know,tryna,okay,think
33_Youngblood,youngblood,baby,beat,love,goodbye
34_Money In The Grave,rap,lil,nigga,tryna,cc
35_Speechless,perfume,baby,daze,room,nervous
36_Break Up With Your Girlfriend Im Bored,girlfriend,song,sing,just,bore
37_Please Me,baby,tease,twerk,titty,twerking
38_Money,nigga,lil,da,bitch,trouble
39_You Need To Calm Down,calm,stop,scream,say,loud
40_Panini,meanie,mean,daytrip,panini,fan
41_Look Back At It,nigga,da,throwin,melody,like
42_A Lot,rap,rapper,album,nigga,gang
43_ME,promise,baby,band,doll,girl
44_MIA,romeo,baby,sing,spiral,bunny
45_Pop Out,gang,nigga,lil,killer,diss
46_Beautiful Crazy,wild,crazy,unforgettable,dance,beautiful
47_Thotiana,nigga,runnin,gang,thotiana,smackin
48_Lucid Dreams,heartbreak,listen,shadow,okay,grave
49_Mo Bamba,nigga,drake,bitch,drug,niggas
50_Beautiful People,let,conversation,dear,help,fashion
51_Wake Up In The Sky,fly,gucci,lil,yo,flight
52_Whiskey Glasses,whiskey,karaoke,heartbreak,drunk,drink
53_Gods Country,dixie,georgia,country,church,runnin
54_Be Alright,teary,message,okay,know,friend
55_Pure Water,rap,nigga,lil,runnin,gang
56_The Git Up,slide,roll,boogie,spin,hoedown
57_Taki Taki,pantiesito,taki,trabaje,trajo,pasito
58_CloseToMe,animal,bitch,trouble,bear,jungle
59_Envy Me,nigga,lil,gang,trappin,niggas
60_You Say,believe,voice,think,feel,strong
61_Hey Look Ma I Made It,song,hustle,ace,hooker,sequel
62_Circles,turn,season,bad,gon,change
63_Beer Never Broke My Heart,guitar,bass,longneck,line,like
64_The London,rapper,verse,nigga,pimp,like
65_ConCalma,shawn,dj,afterparty,rock,boom
66_Murder On My Mind,nigga,homicide,murder,murderer,mama
67_When The Partys Over,bleedin,friend,lie,like,quiet
68_Act Up,nigga,bitch,gucci,lil,beat
69_I Like It,like,cardi,nigga,yo,gucci
70_Trampoline,flame,dream,love,jump,feel
71_Leave Me Alone,bitch,lil,miss,like,know
72_Breathin,breathing,breathin,air,medicate,cloud
73_Bury A Friend,kill,billie,drown,cannibal,dead
74_Close Friends,beyoncé,baby,girlfriend,turbo,help
75_Baby Shark,shark,hunt,daddy,baby,mommy
76_My Type,nigga,hennessy,bitch,tycoon,pipe
77_Worth It,kiwi,tryna,world,baby,nah
78_Only Human,dance,night,room,leave,way
79_Knockin Boots,song,truck,knockin,need,rung
80_Trip,trippin,trip,tripping,tryna,bullet
81_Rumor,song,rumor,baby,town,boy
82_Swervin,rap,song,turnin,swervin,bleedin
83_How Do You Sleep,desperate,dial,stay,feelin,healin
84_Baby,rapper,diddy,nigga,mama,wheezy
85_Look What God Gave Her,song,angel,sing,like,girl
86_Good As You,mama,babe,baby,love,room
87_Clout,mixtape,nigga,bitch,street,heat
88_Love Lies,lover,vibe,baby,listen,tell
89_One Thing Right,trouble,mama,runnin,mamas,baby
90_Cash Shit,pimp,nigga,lil,bitch,gucci
91_Tequila,tequila,song,baby,sorority,party
92_Shotta Flow,nigga,jiggas,gang,droppin,shotta
93_Hot Girl Summer,nigga,yo,bitch,superstar,boy
94_Talk You Out Of It,song,line,playlist,girl,baby
95_Beautiful,angel,gucci,baby,beautiful,angle
96_Eyes On You,miss,babe,paradise,coast,montana
97_All To Myself,song,sing,jealous,girl,want
98_Boyfriend,girlfriend,kiss,boyfriend,baby,complicated
99_Walk Me Home,night,way,darlin,walk,roll
