name,topic1,topic2,topic3,topic4,topic5
01_Levitating,moonlight,starlight,levitating,rhythm,galaxy
02_Save Your Tears,teardrop,tears,boy,pisces,girl
03_Blinding Lights,overdrive,touch,lights,night,blinded
04_Mood,noob,newbie,talking,bloxy,understand
05_Good 4 U,happy,emotional,therapist,girl,baby
06_Kiss Me More,songs,song,songwriters,abba,album
07_Leave The Door Open,baby,dancin,tryna,kissin,waitin
08_Drivers License,song,drove,sorry,street,wrote
09_Montero Call Me By Your Name,nigga,boy,hella,hit,niggas
100_Todo de Ti,bikini,like,lip,coconut,kiss
10_Peaches,sweetest,peaches,georgia,california,baby
11_Butter,usher,summeryeah,boogie,rock,heat
12_Stay,stay,drunk,stranded,wasted,believe
13_Deja Vu,déjà,glee,chorus,songs,vu
14_Positions,runnin,mama,babe,boy,tryna
15_Bad Habits,escape,nights,falling,ends,way
16_Heat Waves,waves,road,shimmer,faking,reflections
17_Without You,cut,bleed,piece,sorry,left
18_Forever After All,lasts,moonlight,guitar,strings,love
19_Go Crazy,lil,baby,gucci,kaniel,amazin
20_Astronaut in the Ocean,rhyme,kendrick,astro,flow,numb
21_34_35,coffee,snooze,drink,night,good
22_What You Know Bout Love,shawty,baby,love,girl,tell
23_My Exs Best Friend,ex,apologize,kissed,texts,sorry
24_Industry Baby,song,rap,album,nas,grammys
25_Therefore I Am,friend,sorry,think,stop,man
26_Up,nigga,shaq,bitch,niggas,smoke
27_Fancy Like,bangin,dancin,fancy,baby,girl
28_Dakiti,baby,mommy,lady,tell,wait
29_Best Friend,girl,jjigeobwa,ichi,bestie,yeongeohago
30_Rapstar,verse,screamin,flyin,winnin,tryna
31_Heartbreak Anniversary,heartbreak,balloons,anniversary,love,days
32_For The Night,cashmoneyap,cash,thief,street,bitch
33_Calling My Phone,nigga,homie,tryna,traumatized,steady
34_Beautiful Mistakes,bittersweet,mistakes,bed,dreams,nights
35_Holy,catchy,rapper,altar,sing,saint
36_On Me,lil,bustin,bitch,niggas,cash
37_You Broke Me First,drunk,talking,maybe,broke,phone
38_Traitor,traitor,betrayed,forget,sorry,guilty
39_Back In Blood,thug,nigga,gang,blood,homie
40_I Hope,song,hope,babe,date,highway
41_Dynamite,song,disco,dynamite,night,stars
42_Wockesha,cup,coffe,sipping,tryna,relapse
43_You Right,got,sheets,tryna,guy,babe
44_Beat Box,rap,nigga,rapper,gang,song
45_Laugh Now Cry Later,nigga,rapper,drake,lil,drizzy
46_Need To Know,song,baby,daddy,sexual,thong
47_Wants And Needs,lil,diss,tryna,yeezy,chill
48_Way 2 Sexy,thotty,fetty,nigga,shirt,boy
49_Telepatia,telepathy,melody,thought,moon,voices
50_Whoopty,pxcoyo,cha,groupie,niggas,bitch
51_Lemonade,beyoncé,chorus,verse,nigga,taylor
52_Good Days,day,mood,worry,mind,tryna
53_Starting Over,road,roads,clover,roll,town
54_Body,hottest,hot,lil,bodied,body
55_Willow,bait,bent,know,open,knife
56_Bang,song,bang,ruckus,come,hang
57_Better Together,guitar,song,strings,needle,groove
58_Youre Mines Still,nigga,angry,pussy,beat,pretty
59_Every Chance I Get,quarteirão,oposição,quarteirões,quando,estão
60_Essence,listening,baby,daddy,kiss,love
61_Chasing After You,night,chasing,listen,lonely,wine
62_The Good Ones,song,love,like,kind,book
63_Leave Before You Love Me,line,stayin,sorry,edge,dancing
64_Glad You Exist,stranger,hey,love,hello,night
65_Lonely,lonely,fame,listening,know,felt
66_Beggin,beggin,begging,darlin,king,baby
67_Streets,tryna,inner,struggle,stuck,beat
68_Whats Next,weezy,tryna,road,chain,way
69_Famous Friends,famous,johnny,buddy,friends,town
70_Lil Bit,nelly,lil,road,roll,backwoods
71_Thot Shit,nigga,bitch,homie,thot,pussy
72_Late At Night,nigga,bitch,pussy,beat,shorty
73_Kings  Queens,throne,king,royalty,queen,kings
74_Anyone,diamonds,love,dance,gold,way
75_Track Star,heartbreak,heartache,melody,heart,aching
76_Time Today,gangsta,nigga,line,bitch,wrist
77_Cry Baby,nigga,bitch,lil,baby,pussy
78_All I Want For Christmas Is You,santa,christmas,mistletoe,sleigh,stocking
79_No More Parties,daddy,nigga,bitch,promise,baby
80_Whats Your Country Song,dixieland,song,highway,country,texas
81_One Too Many,sober,room,bar,night,drinking
82_Arcade,broken,losing,lost,pieces,game
83_Yonaguni,baby,yonaguni,tattoo,sing,mommy
84_Good Time,dixieland,singing,night,tryna,campfire
85_If I Didnt Love You,miss,love,feel,better,wonder
86_Knife Talk,gang,rapper,nigga,lyric,street
87_pov,pretty,babe,love,baby,way
88_Just The Way,babe,love,masterpiece,loving,imperfections
89_Take My Breath,baby,babe,sacrifice,temptation,breath
90_Were Good,island,goodbye,silence,wave,separate
91_Hell Of A View,mama,daddy,baby,ticket,ai
92_Rockin Around The Christmas Tree,caroling,mistletoe,rocking,christmas,dancing
93_Put Your Records On,song,birds,hairdo,girl,girls
94_Happier Than Ever,letter,happier,read,write,leave
95_Single Saturday Night,night,miss,baby,saturday,man
96_Things A Man Oughta Know,hitch,oughta,woman,love,man
97_Throat Baby Go Baby,song,nigga,lil,bitch,trippin
98_Tombstone,tombstone,nigga,hustler,eighty,bury
99_Drinkin Beer Talkin God Amen,backwoods,dirt,heaven,hell,firewood
