name,topic1,topic2,topic3,topic4,topic5
100_R U Mine,string,puppet,island,tracy,velvet
10_Believer,poems,believer,heartache,pain,spirit
11_Night Changes,night,baby,changes,afraid,change
12_Someone You Loved,help,way,hear,numbed,need
13_When I Was Your Man,song,baby,apologize,dancin,dancing
14_Do I Wanna Know,secrets,nights,baby,flows,night
15_Call Out My Name,baby,babe,love,lied,kiss
16_Shape of You,date,bar,lover,club,room
17_Pink  White,immortality,way,life,alive,lines
18_One Dance,dance,hennessy,baby,way,safe
19_Circles,turn,seasons,doomed,flame,bad
1_See You Again feat Kali Uchis,tyler,rap,kanye,pharrell,creator
20_One Kiss with Dua Lipa,dua,discography,awards,award,lipa
21_Locked out of Heaven,paradise,heaven,sinner,miracles,faith
22_Lover,darling,lover,room,dear,honey
23_Whyd You Only Call Me When Youre High,mornin,high,tryna,mirror,night
24_The Hills,road,tryna,just,baby,friend
25_Wake Me Up,journey,lost,guided,wake,feeling
26_LA CANCIÓN,cuando,cómo,como,canción,gustaba
27_Theres Nothing Holdin Me Back,control,baby,confessin,follow,hesitation
28_Thunder,thunder,lightning,dreams,dreaming,star
29_Photograph,love,loving,hurt,feel,memories
2_Starboy,song,nigga,starboy,crib,bitch
30_A Sky Full of Stars,sky,stars,care,heavenly,light
31_Stressed Out,rhyme,sang,chords,voice,sounds
32_The Nights,nights,memories,shadows,afraid,tears
33_Im Not The Only One,vow,baby,tear,realise,know
34_Counting Stars,dreaming,counting,praying,river,line
35_The Less I Know The Better,heather,darling,love,goodbye,lover
36_Treat You Better,lie,baby,promise,tell,situation
37_All of Me,muse,singing,dizzy,love,rhythm
38_Gods Plan,trouble,wishin,wishing,tryna,die
39_Adore You,lipstick,rainbow,paradise,love,strawberry
3_Another Love,song,tears,flower,sang,sing
40_Daddy Issues,daddy,mama,boy,shade,little
41_Before You Go,wayside,feel,fell,coulda,storm
42_What Makes You Beautiful,song,baby,makeup,insecure,shy
43_goosebumps,goosebumps,flyin,numb,lil,worried
44_Love On The Brain,baby,love,loving,beats,babe
45_Paradise,para,paradise,butterfly,skies,waterfall
46_Let Me Down Slowly,lonely,sympathy,leaving,door,grace
47_Too Good At Goodbyes,goodbyes,tears,heartless,mean,baby
48_Closer,song,baby,stop,fine,tattoo
49_rockstar feat 21 Savage,migos,drake,xxxtentacion,beyoncé,tiësto
4_Sweater Weather,beach,hands,hand,warm,sweater
50_everything i wanted,dream,nightmare,coulda,fly,deserve
51_Thats What I Like,baby,babe,julio,promise,mamacita
52_Nias In Paris,rap,kanye,outkast,drake,timbaland
53_Wet Dreamz,nigga,baby,sex,dreamin,mama
54_Lost,lost,baby,titties,triple,double
55_7 rings,tiffany,gleamin,riches,diamonds,tattoos
56_Beggin,beggin,begging,darlin,king,baby
57_Passionfruit,listen,fallin,commitment,issues,mothafucking
58_Sign of the Times,sign,crying,times,final,end
59_Lucid Dreams,heartbreak,grave,listened,okay,enviyon
5_Sure Thing,lyric,muse,babe,lover,band
60_Hymn for the Weekend,symphony,drink,angel,poured,drunk
61_Drip Too Hard Lil Baby  Gunna,nigga,runnin,lil,niggas,tryna
62_Stay With Me,darling,stay,love,night,need
63_Let Me Love You,heartbreak,burning,darkest,miracle,smoke
64_Love Yourself,song,mama,baby,admit,like
65_All The Stars with SZA,kanye,kendrick,pharrell,nipsey,gambino
66_Redbone,woke,daylight,sleepin,wake,nigga
67_Thinking out Loud,darling,love,baby,honey,loving
68_Maps,song,darkest,miss,sweeter,map
69_Shut Up and Dance,juliet,discotheque,dance,bound,destiny
6_No Role Modelz,rap,song,aaliyah,sade,nigga
70_when the partys over,bleedin,goodbyes,friend,quiet,lie
71_Young And Beautiful,love,grace,heaven,diamonds,rock
72_One Last Time,promise,baby,liar,babe,forgive
73_Attention,baby,regret,bout,doin,karma
74_SICKO MODE,lockdown,tryna,bout,like,bitch
75_LOVE FEAT ZACARI,kendrick,chainz,drake,freestyle,rapsody
76_Unforgettable,tryna,tipsy,boosie,bacardi,baby
77_Lost in the Fire feat The Weeknd,babe,baby,straight,roll,girls
78_Pumped Up Kicks,shooter,run,gun,bullet,kid
79_Story of My Life,written,words,stories,walls,story
7_Perfect,song,love,darlin,beautiful,baby
80_This Is What You Came For,lightning,baby,strikes,moves,game
81_Doin Time,summertime,rhythm,dance,party,burning
82_Dont,song,nigga,listen,game,baby
83_Love The Way You Lie,superman,venom,lois,knife,suffocate
84_Sunflower  SpiderMan Into the SpiderVerse,song,malone,weeknd,chainz,minaj
85_Uptown Funk feat Bruno Mars,mtv,beyoncé,lovato,video,song
86_Just the Way You Are,compliment,girl,lips,smile,eyes
87_bad guy,lyrics,mama,mommy,song,girlfriend
88_Happier,happier,thoughts,flame,okay,morning
89_Summer,summer,baby,love,lied,innocent
8_lovely with Khalid,stay,home,away,stone,way
90_See You Again feat Charlie Puth,mtv,beyoncé,lovato,video,song
91_SLOW DANCING IN THE DARK,night,dancing,friend,dance,dark
92_Cant Feel My Face,numb,worry,love,girl,misery
93_Jocelyn Flores,grave,numb,suicidal,nigga,sickenin
94_Waiting For Love,unstoppable,night,day,love,vulnerable
95_Safe And Sound,safe,wave,luck,falling,underground
96_Ride,die,kill,help,bullet,peace
97_Give Me Everything feat NeYo Afrojack  Nayer,afrojack,flowin,ne,queen,way
98_Bad Romance,romance,gaga,drama,roma,revanche
99_Wow,lil,dre,grinnin,flockin,pocket
9_Watermelon Sugar,strawberries,song,watermelon,berries,sugar
