name,topic1,topic2,topic3,topic4,topic5
10_Arabella,arabella,daydreams,lady,lover,horizon
11_My Propeller,propeller,propelleryou,tow,spin,urgency
12_Fluorescent Adolescent,daft,slag,sentimental,forget,remember
13_Suck It and See,song,poetry,cruel,love,jigsaw
14_Do I Wanna Know,secrets,darling,baby,flows,nights
15_Thered Better Be A Mirrorball,romantic,darling,mood,mirrorball,rose
16_I Wanna Be Yours,babe,secrets,deep,want,maybe
17_505,darling,goodbye,flight,twists,surprise
18_Body Paint,predictable,subterfuge,deception,costume,writing
19_Sculptures Of Anything Goes,canvasses,sculptures,talking,messages,idea
1_Mardy Bum,frown,mardy,laugh,cuddles,face
20_I Bet You Look Good On The Dancefloor,dancefloor,dancefloors,dancing,dynamite,bang
21_R U Mine,string,puppet,island,tracy,heartaches
2_Dont Sit Down Cause Ive Moved Your Chair,chair,fight,roll,fighting,bonfire
3_Brianstorm,blokes,marks,brian,jokes,style
4_Snap Out Of It,darling,sing,hypnotised,baby,grab
5_Crying Lightning,indignity,deranged,magic,cafe,crying
6_Teddy Picker,joke,punchline,television,twist,men
7_The View From The Afternoon,anticipation,verse,evening,tonight,disappointment
8_Four Out Of Five,imaginative,rave,flight,sex,fly
9_Whyd You Only Call Me When Youre High,high,morning,mirror,night,shite
