name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,trouble,wishing,tryna,like,mama
02_Perfect,darling,song,love,beautiful,baby
03_Meant To Be,baby,sing,ride,boy,road
04_Havana,havana,jeffery,babe,jam,bout
05_Rockstar,groupie,tank,band,homies,popstar
06_Psycho,mama,lil,yo,bitch,homies
07_I Like It,cardi,like,gucci,yo,baby
08_The Middle,kitchen,mess,cabinets,dishes,stairs
09_In My Feelings,trapmoneybenny,drake,trap,rap,ex
100_Believer,poems,believer,blood,heartache,grace
10_Girls Like You,babe,girl,girls,maybe,nights
11_Nice For What,song,weezyana,lil,niggas,shorty
12_Lucid Dreams,heartbreak,grave,enviyon,okay,listened
13_Better Now,better,jonas,woulda,knew,okay
14_Finesse,timberlake,lil,remix,homie,cardi
15_Bood Up,anxiety,baby,love,feeling,feelings
16_New Rules,count,repeat,try,rules,drunk
17_Sad,afraid,suicide,lonely,love,heart
18_Never Be The Same,heroin,overdose,veins,morphine,blood
19_Love Lies,lover,baby,vibe,listen,sunrise
20_No Tears Left To Cry,loving,hey,stop,turning,just
21_Mine,hennessy,mariah,bride,precious,yeah
22_Thunder,thunder,lightning,dreams,dreaming,stage
23_Look Alive,drake,drizzy,nigga,blocboy,niggas
24_Delicate,delicate,babe,best,just,like
25_Yes Indeed,weezy,lil,drake,wheezy,boogie
26_Friends,love,lover,crazy,say,mess
27_Bad At Love,love,mistakes,jealousy,bad,lines
28_Taste,gang,nigga,gangland,drake,gucci
29_Let You Down,apology,listen,sorry,letdown,voices
30_No Limit,nigga,eazy,homie,album,bitch
31_FEFE,beyoncé,verse,nigga,minaj,queens
32_Tequila,tequila,drunk,baby,whiskey,sorority
33_Feel It Still,rebel,fallen,kick,kicks,goodbye
34_MotorSport,rap,laced,like,motorsport,britney
35_I Like Me Better,love,babe,york,room,drunk
36_Youngblood,youngblood,baby,beat,goodbye,love
37_Whatever It Takes,whip,prodigal,chains,adrenaline,run
38_Ric Flair Drip,ric,gang,nigga,boomin,boominati
39_I Fall Apart,scars,help,whore,cut,broken
40_Pray For Me,rapture,hero,war,god,blood
41_Back To You,regret,replaying,stuck,lying,cold
42_Sicko Mode,lockdown,bout,bonnaroo,belt,like
43_Walk It Talk It,gang,walkie,nigga,like,walk
44_Gucci Gang,lil,gang,gucci,bitch,slanging
45_Him  I,cross,bonnie,love,heart,baby
46_In My Blood,help,anxious,overwhelmed,blood,feeling
47_All The Stars,momma,night,haunt,love,congratulations
48_Stir Fry,whip,trap,bands,dance,nigga
49_Too Good At Goodbyes,goodbyes,tears,heartless,baby,mean
50_Love,love,lust,homie,lean,yo
51_This Is America,guerilla,police,contraband,guns,america
52_Nonstop,rap,drizzy,nigga,dre,flow
53_Heaven,angel,heaven,kiss,perfect,beautiful
54_Bodak Yellow Money Moves,lil,gucci,like,savage,broke
55_Freaky Friday,kanye,lil,nigga,breezy,dicky
56_Gummo,nigga,gang,niggas,blicky,drum
57_Plug Walk,plug,nigga,gucci,lil,thelabcook
58_Wait,apologize,begging,mother,occasion,tell
59_Be Careful,nigga,bitch,baby,warning,care
60_Wolves,darkest,dark,love,divine,wine
61_Bartier Cardi,chorus,cardi,drake,bitch,verse
62_God Is A Woman,blessed,touch,baby,boy,confess
63_Big Bank,rap,lil,niggas,bitch,white
64_Sorry Not Sorry,revenge,baddest,payback,bitch,baby
65_How Long,baby,admit,boy,promise,apologies
66_Lights Down Low,angel,moonlight,lights,baby,heaven
67_Young Dumb  Broke,commitment,love,broke,high,yadadadadadada
68_One Kiss,kiss,love,possibilities,wonderland,like
69_Natural,line,stone,edge,blood,dark
70_You Make It Easy,babe,grace,songs,angel,loving
71_Shape Of You,date,bar,lover,club,room
72_I Get The Bag,rap,nigga,lil,gucci,freestyle
73_No Brainer,dj,music,dancing,khaled,justin
74_Plain Jane,rap,ferg,nigga,rappers,yo
75_Sky Walker,gang,splish,like,street,bull
76_Marry Me,marry,magnolias,married,best,dress
77_Eastside,backstreets,baby,singing,love,kiss
78_Call Out My Name,baby,babe,love,lied,kiss
79_Kings Dead,diss,lil,gang,nigga,bitch
80_Happier,happier,thoughts,okay,morning,spirits
81_Te Bote,remix,baby,dio,wo,boy
82_Simple,simple,love,paradise,jam,like
83_Lemon,nigga,niggas,rihanna,race,hate
84_18002738255,chorus,drake,verse,outro,sabrina
85_Say Something,melody,harmony,help,say,rhythm
86_Im Upset,nigga,upset,dying,dead,niggas
87_Get Along,lovers,love,song,billboard,heaven
88_Moonlight,moonlight,shawty,spotlight,nigga,like
89_What Lovers Do,lovers,baby,love,mama,tell
90_X,baby,mommy,nicky,tell,stop
91_Outside Today,gang,homie,tryna,title,bout
92_Trip,tripping,trip,tripped,safety,love
93_Dura,reggae,mamacita,buenos,daddy,tá
94_Changes,changing,baby,damage,heart,understand
95_Mercy,mercy,heart,just,break,stop
96_One Number Away,dial,stuck,calling,lines,leaving
97_Powerglide,yo,hella,wonderland,swae,jam
98_IDGAF,goodbye,songs,boy,cut,friend
99_Mi Gente,rhythm,beyonce,disco,dance,dancing
