name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,trouble,die,wishing,like,mama
02_Perfect,song,darling,love,angel,baby
03_Meant To Be,baby,sing,ride,boy,road
04_Havana,havana,jam,jeffery,babe,bout
05_Rockstar,groupie,tank,band,homies,popstar
06_Psycho,mama,lil,yo,bitch,baby
07_I Like It,like,cardi,nigga,gucci,yo
08_The Middle,kitchen,mess,meet,mean,baby
09_In My Feelings,trapmoneybenny,trap,drake,rap,ex
100_Believer,poem,heartache,blood,vein,pain
10_Girls Like You,girl,babe,weekend,guy,like
11_Nice For What,song,lil,nigga,mothafucking,weezyana
12_Lucid Dreams,heartbreak,listen,okay,shadow,way
13_Better Now,mean,okay,know,think,say
14_Finesse,lil,timberlake,remix,homie,cardi
15_Bood Up,anxiety,baby,love,feeling,boy
16_New Rules,try,count,love,repeat,drink
17_Sad,afraid,suicide,let,sad,lonely
18_Never Be The Same,vein,heroin,overdose,blood,morphine
19_Love Lies,lover,vibe,baby,listen,tell
20_No Tears Left To Cry,stop,hey,love,try,fly
21_Mine,hennessy,mariah,lil,bride,precious
22_Thunder,thunder,lightning,dream,stage,fuse
23_Look Alive,drake,drizzy,blocboy,nigga,niggas
24_Delicate,babe,delicate,promise,like,girl
25_Yes Indeed,weezy,lil,drake,wheezy,nigga
26_Friends,love,tell,lover,say,know
27_Bad At Love,try,love,mean,line,kiss
28_Taste,gang,nigga,gangland,pimp,drake
29_Let You Down,apology,listen,sorry,letdown,mean
30_No Limit,nigga,eazy,album,homie,pipe
31_FEFE,beyoncé,nigga,verse,minaj,bitch
32_Tequila,tequila,song,baby,whiskey,sorority
33_Feel It Still,rebel,kick,fallen,goodbye,let
34_MotorSport,rap,laced,like,stunt,motorsport
35_I Like Me Better,york,love,babe,city,like
36_Youngblood,youngblood,baby,beat,love,goodbye
37_Whatever It Takes,whip,chain,adrenaline,run,prodigal
38_Ric Flair Drip,ric,gang,nigga,boomin,boominati
39_I Fall Apart,help,tear,scar,whore,cut
40_Pray For Me,hero,war,rapture,sacrifice,kill
41_Back To You,regret,know,replay,break,heart
42_Sicko Mode,lockdown,belt,bonnaroo,bitch,bout
43_Walk It Talk It,rap,gang,walkie,walk,chain
44_Gucci Gang,lil,gang,gucci,bitch,pump
45_Him  I,cross,bonnie,love,heart,lie
46_In My Blood,help,anxious,blood,try,afraid
47_All The Stars,momma,night,know,tell,mean
48_Stir Fry,whip,trap,dance,nigga,band
49_Too Good At Goodbyes,goodbye,tear,mean,heartless,baby
50_Love,love,lust,yo,homie,hund
51_This Is America,guerilla,police,gun,contraband,whip
52_Nonstop,rap,drizzy,dre,nigga,niggas
53_Heaven,angel,heaven,kiss,perfect,beautiful
54_Bodak Yellow Money Moves,lil,gucci,break,like,savage
55_Freaky Friday,kanye,lil,nigga,breezy,dicky
56_Gummo,nigga,gang,niggas,drum,jaw
57_Plug Walk,plug,nigga,gucci,lil,thelabcook
58_Wait,beg,apologize,begging,tell,mother
59_Be Careful,marry,nigga,bitch,love,baby
60_Wolves,dark,wolf,eye,love,divine
61_Bartier Cardi,cardi,chorus,drake,bitch,verse
62_God Is A Woman,touch,bless,baby,way,let
63_Big Bank,rap,lil,bitch,niggas,white
64_Sorry Not Sorry,revenge,payback,baddest,bitch,baby
65_How Long,baby,apology,admit,promise,tell
66_Lights Down Low,angel,heaven,moonlight,light,baby
67_Young Dumb  Broke,commitment,love,high,like,break
68_One Kiss,kiss,love,wonderland,like,night
69_Natural,line,stone,edge,blood,come
70_You Make It Easy,song,grace,angel,babe,inspiration
71_Shape Of You,date,lover,bar,love,club
72_I Get The Bag,rap,nigga,lil,gucci,freestyle
73_No Brainer,dj,music,dance,khaled,justin
74_Plain Jane,rap,rapper,nigga,ferg,yo
75_Sky Walker,gang,like,splish,matador,bull
76_Marry Me,marry,married,magnolia,plan,dress
77_Eastside,backstreets,baby,love,kiss,sing
78_Call Out My Name,babe,baby,help,love,kiss
79_Kings Dead,lil,bitch,nigga,gang,queen
80_Happier,happy,flame,think,morning,spirit
81_Te Bote,remix,dio,baby,jlo,wo
82_Simple,finger,love,like,simple,little
83_Lemon,nigga,bitch,rihanna,tell,race
84_18002738255,chorus,verse,drake,outro,sabrina
85_Say Something,melody,help,transgression,say,harmony
86_Im Upset,nigga,upset,leave,pay,niggas
87_Get Along,song,love,lover,meet,heaven
88_Moonlight,moonlight,shawty,spotlight,like,mood
89_What Lovers Do,baby,mama,lover,love,lovers
90_X,baby,nicky,mommy,tell,friend
91_Outside Today,gang,bitch,homie,beat,title
92_Trip,trip,tripping,love,safety,bullet
93_Dura,reggae,mamacita,buenos,daddy,tá
94_Changes,change,baby,damage,feel,understand
95_Mercy,mercy,heart,turn,love,just
96_One Number Away,song,dial,away,line,drown
97_Powerglide,yo,wonderland,hella,jam,swae
98_IDGAF,song,goodbye,friend,boy,listen
99_Mi Gente,rhythm,beyonce,disco,dance,queen
