name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,wishing,outlive,trouble,feel,love
02_Perfect,darling,song,love,baby,angel
03_Meant To Be,baby,ride,road,sing,mean
04_Havana,havana,babe,jam,bout,like
05_Rockstar,groupie,band,homies,popstar,uzi
06_Psycho,lil,mama,like,yo,homies
07_I Like It,like,gang,yo,gucci,bitch
08_The Middle,aggressive,mess,kitchen,stairs,cabinets
09_In My Feelings,rap,drake,trap,trapmoneybenny,nigga
100_Believer,poems,heartache,believer,words,prayer
10_Girls Like You,girl,girls,need,babe,getting
11_Nice For What,song,mothafucking,weezyana,breakdown,bands
12_Lucid Dreams,heartbreak,shadows,grave,mix,room
13_Better Now,woulda,knew,know,love,life
14_Finesse,finesse,remix,lil,timberlake,sense
15_Bood Up,feeling,anxiety,feelings,like,deep
16_New Rules,drunk,love,friend,count,making
17_Sad,afraid,suicide,sad,heart,lonely
18_Never Be The Same,overdose,heroin,morphine,intoxicate,nicotine
19_Love Lies,vibe,tell,love,lover,want
20_No Tears Left To Cry,ai,left,turning,tears,mind
21_Mine,hennessy,mariah,like,away,girl
22_Thunder,thunder,lightning,dreaming,dreams,clapping
23_Look Alive,nigga,niggas,blocboy,drizzy,drake
24_Delicate,like,babe,delicate,honey,promises
25_Yes Indeed,weezy,wheezy,lil,drake,like
26_Friends,mess,friends,spell,love,away
27_Bad At Love,love,boy,state,jealousy,know
28_Taste,gang,like,gucci,nigga,drake
29_Let You Down,mood,voices,mean,listen,feel
30_No Limit,nigga,album,pipe,eazy,bitch
31_FEFE,verse,beyoncé,minaj,nigga,nicki
32_Tequila,tequila,drunk,party,whiskey,drink
33_Feel It Still,rebel,fallen,kicks,feeling,kick
34_MotorSport,rap,like,bitch,nigga,laced
35_I Like Me Better,love,like,room,babe,know
36_Youngblood,youngblood,calls,calling,die,dead
37_Whatever It Takes,falling,chains,adrenaline,martyrdom,tripping
38_Ric Flair Drip,gang,nigga,niggas,beat,boomin
39_I Fall Apart,cut,broken,scarred,scars,help
40_Pray For Me,god,rapture,suffering,pray,souls
41_Back To You,regret,stuck,talk,conversations,feeling
42_Sicko Mode,like,niggas,lockdown,bonnaroo,dawgs
43_Walk It Talk It,gang,like,nigga,niggas,raps
44_Gucci Gang,gang,bitch,slanging,lil,gucci
45_Him  I,cross,love,heart,die,swear
46_In My Blood,anxious,help,overwhelmed,afraid,blood
47_All The Stars,love,haunt,talk,conversation,like
48_Stir Fry,whip,like,wroof,dance,trap
49_Too Good At Goodbyes,tears,goodbyes,mean,heartless,sad
50_Love,love,music,lust,jamming,like
51_This Is America,guerilla,contraband,blocka,oaxaca,bands
52_Nonstop,rap,nigga,dre,like,niggas
53_Heaven,kiss,angel,heaven,girl,like
54_Bodak Yellow Money Moves,gucci,lil,broke,like,kid
55_Freaky Friday,kanye,nigga,lil,like,niggas
56_Gummo,gang,nigga,niggas,bop,drum
57_Plug Walk,plug,nigga,thelabcook,gucci,bitch
58_Wait,dirty,apologize,begging,undo,talk
59_Be Careful,care,treat,like,loves,heart
60_Wolves,darkest,dark,feeling,feel,love
61_Bartier Cardi,chorus,verse,drake,cardi,gang
62_God Is A Woman,believe,pray,love,afraid,touch
63_Big Bank,rap,niggas,white,bitch,lil
64_Sorry Not Sorry,revenge,payback,baddest,bitch,bad
65_How Long,admit,boy,baby,blame,involved
66_Lights Down Low,angel,flow,mood,moonlight,island
67_Young Dumb  Broke,broke,love,think,like,school
68_One Kiss,kiss,love,falling,passion,way
69_Natural,line,heart,edge,blood,sin
70_You Make It Easy,grace,songs,twisted,inspiration,darkest
71_Shape Of You,date,kiss,love,room,lover
72_I Get The Bag,rap,gucci,nigga,lil,freestyle
73_No Brainer,dj,music,chain,justin,dancing
74_Plain Jane,rap,rappers,nigga,ferg,niggas
75_Sky Walker,like,gang,splish,love,shotgunning
76_Marry Me,marry,magnolias,married,want,wants
77_Eastside,backstreets,singing,seventeen,love,young
78_Call Out My Name,love,broken,babe,girl,baby
79_Kings Dead,gang,clique,like,diss,bitch
80_Happier,happier,smile,know,spirits,think
81_Te Bote,remix,baby,mommy,band,like
82_Simple,string,like,road,fingers,way
83_Lemon,nigga,minute,niggas,like,longer
84_18002738255,chorus,verse,feel,drake,outro
85_Say Something,melody,rhythm,help,harmony,direction
86_Im Upset,nigga,niggas,like,dying,soul
87_Get Along,song,virginia,sunshine,road,love
88_Moonlight,mood,moonlight,like,spotlight,feel
89_What Lovers Do,baby,lovers,love,play,mama
90_X,beat,know,desire,breaking,jam
91_Outside Today,gang,homie,tryna,homies,outside
92_Trip,trip,love,baby,boy,feeling
93_Dura,reggae,mamacita,like,buenos,aires
94_Changes,changing,understand,damage,baby,feel
95_Mercy,mercy,heart,break,like,miss
96_One Number Away,songs,changing,mayer,dying,like
97_Powerglide,gang,jam,yo,like,lil
98_IDGAF,reminiscing,songs,cut,miss,listen
99_Mi Gente,rhythm,music,dance,disco,dancing
