name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,trouble,feel,struggle,road,love
02_Perfect,darling,song,love,baby,dress
03_Meant To Be,baby,ride,road,mean,sing
04_Havana,havana,babe,jam,bout,atlanta
05_Rockstar,groupie,band,popstar,homies,tank
06_Psycho,lil,mama,like,bitch,yo
07_I Like It,like,gang,nigga,yo,gucci
08_The Middle,kitchen,aggressive,mess,stair,cabinet
09_In My Feelings,rap,drake,trap,trapmoneybenny,nigga
100_Believer,poem,prayer,heartache,believer,spirit
10_Girls Like You,girl,babe,need,weekend,guy
11_Nice For What,song,mothafucking,band,know,breakdown
12_Lucid Dreams,heartbreak,shadow,grave,mix,room
13_Better Now,mean,love,woulda,think,like
14_Finesse,remix,lil,finesse,timberlake,sense
15_Bood Up,anxiety,feeling,feel,like,high
16_New Rules,drunk,write,sleep,hop,friend
17_Sad,afraid,suicide,sad,heart,lonely
18_Never Be The Same,overdose,heroin,morphine,intoxicate,nicotine
19_Love Lies,vibe,love,lover,tell,want
20_No Tears Left To Cry,tear,turn,love,rain,mind
21_Mine,hennessy,mariah,like,girl,night
22_Thunder,thunder,lightning,class,scheme,stage
23_Look Alive,nigga,blocboy,niggas,drizzy,drake
24_Delicate,like,babe,promise,say,delicate
25_Yes Indeed,weezy,wheezy,lil,drake,like
26_Friends,mess,spell,love,friend,know
27_Bad At Love,love,say,boy,know,mean
28_Taste,like,gang,nigga,gucci,drake
29_Let You Down,mean,mood,talk,letdown,feel
30_No Limit,album,nigga,pipe,eazy,smoke
31_FEFE,verse,beyoncé,minaj,nigga,bitch
32_Tequila,tequila,drunk,party,drink,whiskey
33_Feel It Still,rebel,kick,fallen,feeling,feel
34_MotorSport,rap,like,snort,bitch,say
35_I Like Me Better,love,like,babe,tell,know
36_Youngblood,die,youngblood,beat,goodbye,love
37_Whatever It Takes,word,adrenaline,fall,martyrdom,catastrophe
38_Ric Flair Drip,gang,nigga,beat,boomin,fam
39_I Fall Apart,cut,tear,broken,help,scar
40_Pray For Me,god,rapture,soul,suffer,souls
41_Back To You,talk,regret,conversation,beat,feel
42_Sicko Mode,like,nigga,mix,lockdown,bitch
43_Walk It Talk It,rap,gang,like,nigga,niggas
44_Gucci Gang,gang,bitch,slang,lil,gucci
45_Him  I,love,cross,heart,die,bonnie
46_In My Blood,help,anxious,blood,overwhelmed,need
47_All The Stars,talk,love,haunt,like,conversation
48_Stir Fry,like,whip,twist,wroof,dance
49_Too Good At Goodbyes,tear,mean,goodbye,love,heartless
50_Love,love,music,lust,feel,like
51_This Is America,guerilla,contraband,oaxaca,blocka,trip
52_Nonstop,rap,nigga,like,dre,drizzy
53_Heaven,kiss,heaven,angel,girl,come
54_Bodak Yellow Money Moves,gucci,lil,like,mean,break
55_Freaky Friday,kanye,nigga,like,lil,niggas
56_Gummo,gang,nigga,bop,niggas,like
57_Plug Walk,plug,gucci,nigga,thelabcook,like
58_Wait,beg,dirty,apologize,want,tell
59_Be Careful,care,treat,warn,love,like
60_Wolves,dark,wolf,feel,love,stranger
61_Bartier Cardi,chorus,verse,drake,gang,cardi
62_God Is A Woman,believe,pray,love,feel,touch
63_Big Bank,rap,niggas,white,bitch,black
64_Sorry Not Sorry,revenge,payback,baddest,bitch,burn
65_How Long,admit,apology,blame,boy,act
66_Lights Down Low,angel,flow,mood,turn,island
67_Young Dumb  Broke,school,love,break,like,think
68_One Kiss,kiss,love,fall,way,feel
69_Natural,line,heart,edge,blood,cut
70_You Make It Easy,song,grace,twisted,inspiration,wrap
71_Shape Of You,date,kiss,love,room,dance
72_I Get The Bag,rap,gucci,nigga,lil,freestyle
73_No Brainer,dj,music,chain,justin,dance
74_Plain Jane,rap,rapper,nigga,spell,ferg
75_Sky Walker,like,gang,flow,splish,love
76_Marry Me,marry,magnolias,plan,want,married
77_Eastside,backstreets,singing,love,seventeen,kiss
78_Call Out My Name,love,help,break,girl,cut
79_Kings Dead,gang,clique,like,title,bitch
80_Happier,happier,happy,mean,smile,change
81_Te Bote,remix,like,baby,know,mommy
82_Simple,finger,string,like,road,way
83_Lemon,minute,nigga,longer,like,beat
84_18002738255,chorus,verse,feel,drake,outro
85_Say Something,melody,rhythm,harmony,help,hear
86_Im Upset,nigga,like,know,niggas,die
87_Get Along,love,song,sunshine,virginia,road
88_Moonlight,moonlight,mood,spotlight,like,shawty
89_What Lovers Do,baby,mama,play,love,tell
90_X,beat,desire,know,jam,day
91_Outside Today,gang,homie,like,bitch,tryna
92_Trip,trip,love,baby,boy,bleed
93_Dura,reggae,mamacita,like,buenos,ese
94_Changes,change,damage,understand,feel,heart
95_Mercy,mercy,love,heart,turn,miss
96_One Number Away,song,drown,change,dial,like
97_Powerglide,gang,jam,yo,like,gucci
98_IDGAF,song,reminiscing,cut,talk,listen
99_Mi Gente,rhythm,music,disco,dance,djs
