name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,wishing,and,yeah,things,bad
02_Perfect,you,in,my,no,the
03_Meant To Be,it,be,will,to,baby
04_Havana,na,ooh,havana,ayy,back
05_Rockstar,rockstar,ayy,like,and,on
06_Psycho,my,the,you,like,it
07_I Like It,like,it,said,that,the
08_The Middle,middle,the,in,just,you
09_In My Feelings,you,and,me,down,for
100_Believer,believer,the,you,me,my
10_Girls Like You,yeah,like,you,need,girl
11_Nice For What,me,for,you,it,got
12_Lucid Dreams,you,my,the,not,one
13_Better Now,you,not,gave,woulda,better
14_Finesse,it,you,know,in,out
15_Bood Up,boo,up,do,ba,you
16_New Rules,got,do,not,count,em
17_Sad,yeah,you,know,let,to
18_Never Be The Same,you,the,are,babe,it
19_Love Lies,me,the,you,your,lies
20_No Tears Left To Cry,it,up,picking,am,yeah
21_Mine,you,mine,just,oh,time
22_Thunder,thunder,thun,th,the,feel
23_Look Alive,the,like,we,on,to
24_Delicate,it,is,not,that,delicate
25_Yes Indeed,the,like,my,me,you
26_Friends,it,not,have,you,made
27_Bad At Love,ooh,you,at,the,love
28_Taste,taste,get,the,you,can
29_Let You Down,you,down,let,that,sorry
30_No Limit,ayy,fuck,money,yeah,it
31_FEFE,no,not,do,that,really
32_Tequila,when,taste,tequila,ya,the
33_Feel It Still,it,now,coming,is,for
34_MotorSport,the,yeah,you,not,that
35_I Like Me Better,me,like,better,when,with
36_Youngblood,youngblood,you,and,me,give
37_Whatever It Takes,it,takes,whatever,the,me
38_Ric Flair Drip,the,on,woo,yeah,my
39_I Fall Apart,ooh,my,apart,fall,to
40_Pray For Me,for,hey,me,you,my
41_Back To You,to,you,back,go,know
42_Sicko Mode,yeah,the,like,to,light
43_Walk It Talk It,it,walk,talk,like,woo
44_Gucci Gang,gang,gucci,yuh,ooh,brr
45_Him  I,oh,and,him,the,it
46_In My Blood,in,it,my,is,not
47_All The Stars,the,all,are,closer,stars
48_Stir Fry,it,the,in,like,whip
49_Too Good At Goodbyes,way,too,at,good,goodbyes
50_Love,me,love,you,just,to
51_This Is America,yeah,black,man,you,get
52_Nonstop,is,the,my,head,spinning
53_Heaven,this,be,heaven,could,not
54_Bodak Yellow Money Moves,young,dumb,broke,and,yadadadadadadada
55_Freaky Friday,yeah,the,oh,my,in
56_Gummo,nigga,the,uh,that,niggas
57_Plug Walk,plug,what,walk,up,the
58_Wait,you,can,around,turn,wait
59_Be Careful,you,me,with,be,careful
60_Wolves,to,the,have,been,you
61_Bartier Cardi,cardi,on,the,bitch,your
62_God Is A Woman,you,yeah,is,it,god
63_Big Bank,bank,you,big,lil,take
64_Sorry Not Sorry,sorry,am,baby,not,the
65_How Long,ooh,been,on,baby,me
66_Lights Down Low,the,you,lights,turn,oh
67_Young Dumb  Broke,young,dumb,yadadadadadadada,broke,and
68_One Kiss,one,possibilities,all,you,in
69_Natural,natural,you,are,the,yeah
70_You Make It Easy,you,make,it,easy,my
71_Shape Of You,come,on,in,love,with
72_I Get The Bag,the,it,and,me,yeah
73_No Brainer,put,them,yeah,high,oh
74_Plain Jane,the,with,in,me,or
75_Sky Walker,yeah,up,the,splish,not
76_Marry Me,she,to,the,yeah,get
77_Eastside,the,to,we,me,away
78_Call Out My Name,my,on,you,out,way
79_Kings Dead,not,your,you,it,the
80_Happier,to,have,go,want,will
81_Te Bote,you,and,that,the,baby
82_Simple,simple,it,as,that,just
83_Lemon,wait,minute,the,bouncing,bath
84_18002738255,to,not,my,want,logic
85_Say Something,something,say,not,can,am
86_Im Upset,that,to,the,my,and
87_Get Along,we,to,get,along,the
88_Moonlight,moonlight,spotlight,uh,you,in
89_What Lovers Do,ooh,do,you,not,or
90_X,you,not,and,deny,we
91_Outside Today,not,am,it,do,on
92_Trip,you,tripping,on,it,my
93_Dura,hard,you,are,the,me
94_Changes,not,it,can,you,are
95_Mercy,mercy,take,it,have,you
96_One Number Away,away,you,but,am,to
97_Powerglide,ayy,the,yeah,she,not
98_IDGAF,you,not,do,your,give
99_Mi Gente,yeah,my,the,people,and
