name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,wish,and,yeah,thing,bad
02_Perfect,be,you,in,my,no
03_Meant To Be,it,be,will,to,baby
04_Havana,na,ooh,havana,ayy,back
05_Rockstar,rockstar,ayy,like,be,and
06_Psycho,my,the,you,like,go
07_I Like It,like,it,say,that,the
08_The Middle,middle,in,the,just,you
09_In My Feelings,you,and,be,me,down
100_Believer,believer,the,you,me,my
10_Girls Like You,yeah,like,you,girl,need
11_Nice For What,me,for,you,get,it
12_Lucid Dreams,you,my,the,be,not
13_Better Now,you,not,give,woulda,around
14_Finesse,you,it,know,in,out
15_Bood Up,boo,up,do,ba,you
16_New Rules,get,do,not,count,em
17_Sad,yeah,you,know,go,let
18_Never Be The Same,be,you,the,babe,it
19_Love Lies,me,the,you,be,your
20_No Tears Left To Cry,it,up,pick,be,yeah
21_Mine,you,mine,just,be,oh
22_Thunder,thunder,thun,th,the,feel
23_Look Alive,the,like,we,be,on
24_Delicate,be,it,not,that,delicate
25_Yes Indeed,the,like,my,get,be
26_Friends,it,not,have,you,make
27_Bad At Love,ooh,you,at,be,the
28_Taste,taste,get,the,you,can
29_Let You Down,you,down,let,that,sorry
30_No Limit,ayy,fuck,money,get,it
31_FEFE,no,do,not,that,really
32_Tequila,when,taste,tequila,ya,the
33_Feel It Still,it,be,now,come,kick
34_MotorSport,the,be,you,yeah,not
35_I Like Me Better,me,like,when,good,with
36_Youngblood,you,youngblood,and,me,give
37_Whatever It Takes,take,it,whatever,the,me
38_Ric Flair Drip,the,on,woo,yeah,my
39_I Fall Apart,ooh,my,apart,fall,to
40_Pray For Me,for,hey,me,you,be
41_Back To You,to,you,back,go,know
42_Sicko Mode,yeah,the,like,be,light
43_Walk It Talk It,it,walk,talk,like,woo
44_Gucci Gang,gang,gucci,yuh,ooh,brr
45_Him  I,and,oh,him,the,it
46_In My Blood,in,be,it,my,not
47_All The Stars,the,be,all,closer,star
48_Stir Fry,it,the,in,like,whip
49_Too Good At Goodbyes,way,too,at,good,goodbye
50_Love,me,love,be,to,you
51_This Is America,yeah,black,man,you,get
52_Nonstop,be,the,my,head,spin
53_Heaven,this,be,could,heaven,good
54_Bodak Yellow Money Moves,young,dumb,break,and,yadadadadadadada
55_Freaky Friday,be,the,yeah,oh,my
56_Gummo,nigga,the,uh,that,in
57_Plug Walk,plug,what,walk,up,the
58_Wait,you,can,around,turn,wait
59_Be Careful,you,be,me,with,careful
60_Wolves,to,the,have,be,you
61_Bartier Cardi,cardi,on,the,bitch,your
62_God Is A Woman,you,be,yeah,it,god
63_Big Bank,bank,you,big,lil,take
64_Sorry Not Sorry,sorry,be,baby,not,the
65_How Long,ooh,be,have,on,baby
66_Lights Down Low,the,you,light,turn,oh
67_Young Dumb  Broke,young,dumb,yadadadadadadada,break,and
68_One Kiss,one,possibility,all,you,in
69_Natural,natural,you,be,the,yeah
70_You Make It Easy,you,make,it,easy,my
71_Shape Of You,come,on,be,in,love
72_I Get The Bag,the,it,and,me,get
73_No Brainer,put,them,yeah,high,oh
74_Plain Jane,the,with,be,do,in
75_Sky Walker,yeah,up,the,splish,not
76_Marry Me,she,to,want,get,the
77_Eastside,the,to,we,be,me
78_Call Out My Name,my,on,you,out,way
79_Kings Dead,not,your,you,be,it
80_Happier,to,be,have,go,want
81_Te Bote,you,and,that,be,the
82_Simple,simple,be,it,can,just
83_Lemon,wait,minute,the,bounce,bath
84_18002738255,be,to,my,not,want
85_Say Something,something,say,be,not,can
86_Im Upset,that,to,get,the,my
87_Get Along,we,get,to,along,the
88_Moonlight,moonlight,spotlight,nigga,uh,you
89_What Lovers Do,ooh,do,you,be,not
90_X,you,not,be,and,deny
91_Outside Today,be,not,it,on,do
92_Trip,you,trip,on,it,be
93_Dura,hard,you,be,the,me
94_Changes,not,it,can,you,be
95_Mercy,mercy,take,it,have,you
96_One Number Away,be,away,you,say,but
97_Powerglide,ayy,the,yeah,she,not
98_IDGAF,you,do,not,be,your
99_Mi Gente,yeah,be,my,the,people
