name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,wishing,yeah,things,bad,ayy
02_Perfect,love,darling,found,perfect,arms
03_Meant To Be,meant,baby,let,ride,maybe
04_Havana,na,ooh,havana,ayy,back
05_Rockstar,rockstar,ayy,like,fucking,man
06_Psycho,like,diamonds,got,ever,going
07_I Like It,like,said,woo,gang,el
08_The Middle,middle,meet,baby,oh,little
09_In My Feelings,always,ya,love,ass,cause
100_Believer,believer,made,oh,pain,ooh
10_Girls Like You,yeah,like,need,girl,come
11_Nice For What,said,got,cry,jump,give
12_Lucid Dreams,one,heart,made,love,head
13_Better Now,better,around,let,gave,woulda
14_Finesse,finesse,know,dripping,love,baby
15_Bood Up,boo,do,ba,biddy,da
16_New Rules,got,tell,count,em,new
17_Sad,yeah,let,know,go,uh
18_Never Be The Same,never,babe,blame,need,move
19_Love Lies,tell,lies,love,sunrise,underneath
20_No Tears Left To Cry,picking,yeah,oh,living,loving
21_Mine,mine,yeah,time,oh,away
22_Thunder,thunder,thun,th,lightning,feel
23_Look Alive,like,side,niggas,man,acting
24_Delicate,delicate,cause,cool,said,like
25_Yes Indeed,like,got,gon,wheezy,new
26_Friends,made,spell,clear,obvious,want
27_Bad At Love,ooh,love,know,bad,make
28_Taste,taste,get,like,yeah,love
29_Let You Down,let,sorry,le,want,could
30_No Limit,ayy,fuck,money,yeah,get
31_FEFE,really,friends,want,ine,ix
32_Tequila,taste,tequila,ya,baby,need
33_Feel It Still,coming,might,feel,still,kicks
34_MotorSport,yeah,get,like,woo,take
35_I Like Me Better,like,better,stay,awhile,time
36_Youngblood,youngblood,give,say,want,yeah
37_Whatever It Takes,takes,whatever,cause,love,break
38_Ric Flair Drip,yeah,woo,nigga,hey,drrt
39_I Fall Apart,core,ooh,apart,fall,yeah
40_Pray For Me,gon,hey,save,live,pain
41_Back To You,back,go,know,could,oh
42_Sicko Mode,yeah,like,light,ayy,said
43_Walk It Talk It,walk,talk,like,woo,yeah
44_Gucci Gang,gang,gucci,yuh,ooh,brr
45_Him  I,end,oh,never,mine,die
46_In My Blood,blood,like,somebody,help,feel
47_All The Stars,closer,stars,haunt,know,let
48_Stir Fry,whip,like,kitchen,fry,stir
49_Too Good At Goodbyes,way,good,goodbyes,every,time
50_Love,love,want,way,money,give
51_This Is America,yeah,black,man,get,money
52_Nonstop,head,spinning,bass,chicken,kicking
53_Heaven,could,heaven,better,know,like
54_Bodak Yellow Money Moves,young,dumb,account,bank,broke
55_Freaky Friday,yeah,oh,freaky,friday,nigga
56_Gummo,nigga,uh,niggas,bitch,whip
57_Plug Walk,plug,walk,huh,coupe,space
58_Wait,work,wait,around,turn,want
59_Be Careful,careful,yeah,like,nigga,care
60_Wolves,get,running,jungle,wolves,yeah
61_Bartier Cardi,cardi,bitch,body,offset,upset
62_God Is A Woman,yeah,god,woman,one,believe
63_Big Bank,bank,money,big,type,lil
64_Sorry Not Sorry,sorry,baby,baddest,bad,talk
65_How Long,ooh,baby,going,long,yeah
66_Lights Down Low,lights,turn,oh,low,baby
67_Young Dumb  Broke,young,dumb,broke,yadadadadadadada,high
68_One Kiss,one,possibilities,love,falling,kiss
69_Natural,natural,yeah,cold,got,ta
70_You Make It Easy,make,easy,want,loving,darkest
71_Shape Of You,come,love,body,well,baby
72_I Get The Bag,yeah,bag,get,real,baby
73_No Brainer,put,high,yeah,oh,eah
74_Plain Jane,check,job,something,ride,chain
75_Sky Walker,yeah,splish,got,like,sleep
76_Marry Me,want,marry,yeah,get,married
77_Eastside,away,run,used,eastside,meet
78_Call Out My Name,way,call,name,want,girl
79_Kings Dead,want,freaked,fuck,like,light
80_Happier,want,go,happier,know,lately
81_Te Bote,oh,baby,threw,life,know
82_Simple,simple,like,easy,know,overrated
83_Lemon,wait,minute,bath,bouncing,hey
84_18002738255,want,like,feel,mind,logic
85_Say Something,something,looking,maybe,say,help
86_Im Upset,fifty,got,know,try,soul
87_Get Along,get,along,scared,long,road
88_Moonlight,moonlight,spotlight,uh,good,look
89_What Lovers Do,ooh,wishing,tryna,lovers,lucky
90_X,deny,clear,already,want,ba
91_Outside Today,know,today,got,want,going
92_Trip,tripping,bad,love,trip,yeah
93_Dura,hard,tell,like,touch,look
94_Changes,stand,mmm,baby,understand,changing
95_Mercy,mercy,take,make,break,going
96_One Number Away,said,away,number,one,calling
97_Powerglide,ayy,yeah,coming,want,like
98_IDGAF,cut,give,get,boy,try
99_Mi Gente,yeah,people,party,la,oh
