name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,wish,ayy,yeah,thing,bad
02_Perfect,love,darling,know,look,find
03_Meant To Be,ride,baby,meant,let,go
04_Havana,back,ayy,havana,oh,ooh
05_Rockstar,ayy,yeah,like,rockstar,pow
06_Psycho,like,go,``,get,diamond
07_I Like It,like,gang,say,la,el
08_The Middle,middle,meet,oh,baby,lose
09_In My Feelings,as,ya,yeah,bring,love
100_Believer,believer,make,pain,oh,let
10_Girls Like You,yeah,like,girl,need,come
11_Nice For What,get,ta,care,cry,jump
12_Lucid Dreams,one,make,heart,love,give
13_Better Now,good,around,let,give,woulda
14_Finesse,na,know,finesse,get,drip
15_Bood Up,yeah,boo,get,ba-do,go
16_New Rules,get,one,tell,count,em
17_Sad,sad,know,yeah,uh,ever
18_Never Be The Same,never,babe,blame,ever,could
19_Love Lies,lie,love,tell,yeah,day
20_No Tears Left To Cry,pick,yeah,like,cry,oh
21_Mine,time,mine,oh,forever,feel
22_Thunder,thunder,thun-,th-th-thunder,lightning,feel
23_Look Alive,like,side,look,man,alive
24_Delicate,delicate,cause,like,cool,say
25_Yes Indeed,like,get,go,gon,crazy
26_Friends,make,f-r-i-e-n-d-s,clear,look,obvious
27_Bad At Love,know,believe,jealousy,ooh-ooh,love
28_Taste,taste,get,like,yeah,nigga
29_Let You Down,let,want,sorry,like,wish
30_No Limit,ayy,safe,fuck,money,get
31_FEFE,``,really,want,friend,like
32_Tequila,ya,need,taste,tequila,baby
33_Feel It Still,kick,come,ooh,woo,rebel
34_MotorSport,yeah,woo,get,like,skrrt
35_I Like Me Better,like,stay,good,time,awhile
36_Youngblood,want,say,yeah,give,need
37_Whatever It Takes,take,whatever,cause,love,break
38_Ric Flair Drip,woo,yeah,bust,slide,drrt
39_I Fall Apart,keep,ooh,yeah,fall,apart
40_Pray For Me,gon,hey,ooh,save,take
41_Back To You,back,go,know,could,oh
42_Sicko Mode,yeah,like,light,say,ayy
43_Walk It Talk It,walk,talk,like,woo,yeah
44_Gucci Gang,gang,gucci,yuh,fuck,ooh
45_Him  I,end,get,oh-oh-oh-oh-woah,never,die
46_In My Blood,like,blood,feel,help,give
47_All The Stars,haunt,star,closer,know,let
48_Stir Fry,woo,like,whip,kitchen,stir
49_Too Good At Goodbyes,way,good,goodbye,time,every
50_Love,love,want,get,ayy,way
51_This Is America,yeah,black,man,get,go
52_Nonstop,get,head,spin,nah,smoke
53_Heaven,heaven,know,could,go,like
54_Bodak Yellow Money Moves,-,young,dumb,break,account
55_Freaky Friday,oh,nigga,yeah,fuck,chris
56_Gummo,nigga,uh,whip,fuck,niggas
57_Plug Walk,plug,walk,bitch,ooh,lil
58_Wait,beg,work,around,turn,make
59_Be Careful,get,care,like,careful,yeah
60_Wolves,get,run,jungle,wolf,dark
61_Bartier Cardi,cardi,bitch,b,body,upset
62_God Is A Woman,yeah,god,woman,one,believe
63_Big Bank,bank,big,lil,money,take
64_Sorry Not Sorry,sorry,walk,talk,baby,bad
65_How Long,baby,shady,go,``,yeah
66_Lights Down Low,turn,light,oh,low,feel
67_Young Dumb  Broke,young,break,dumb,high,yadadadadadadada
68_One Kiss,one,way,take,love,like
69_Natural,natural,yeah,ta,get,cold
70_You Make It Easy,easy,make,see,day,want
71_Shape Of You,oh,come,love,body,baby
72_I Get The Bag,get,bag,yeah,baby,drop
73_No Brainer,yeah,put,look,high,yeah-eah-eah
74_Plain Jane,something,chain,queen,check,plain
75_Sky Walker,yeah,splish,get,like,sleep
76_Marry Me,black,want,get,marry,yeah
77_Eastside,away,run,use,know,take
78_Call Out My Name,way,name,call,want,stay
79_Kings Dead,get,want,light,fuck,gon
80_Happier,go,want,happier,think,know
81_Te Bote,baby,know,life,give,release
82_Simple,simple,like,s-i-m-p-l-e,way,make
83_Lemon,wait,bounce,bath,around,minute
84_18002738255,want,alive,die,like,feel
85_Say Something,say,help,something,look,maybe
86_Im Upset,get,ex,soul,try,know
87_Get Along,get,long,along,hand,give
88_Moonlight,uh,moonlight,nigga,right,spotlight
89_What Lovers Do,ooh,say,love,lucky,hey
90_X,clear,non-stop,deny,go,plate
91_Outside Today,know,today,go,get,want
92_Trip,bad,trip,yeah,love,make
93_Dura,hard,touch,tell,bye,like
94_Changes,stand,mmm,baby,understand,hard
95_Mercy,take,break,make,mercy,go
96_One Number Away,away,say,number,one,might
97_Powerglide,ayy,yeah,clothes,get,want
98_IDGAF,get,cause,give,boy,try
99_Mi Gente,yeah,la,people,go,oh
